"","JKSE.Open","JKSE.High","JKSE.Low","JKSE.Close","JKSE.Volume","JKSE.Adjusted","Date"
"2017-02-16",5389.068848,5395.278809,5357.711914,5377.998047,218393700,5377.998047,"2017-02-16"
"2017-02-17",5366.854004,5370.331055,5340.85791,5350.932129,179271900,5350.932129,"2017-02-17"
"2017-02-20",5358.551758,5373.091797,5351.018066,5359.288086,107921200,5359.288086,"2017-02-20"
"2017-02-21",5363.61377,5375.695801,5336.834961,5340.990234,209661500,5340.990234,"2017-02-21"
"2017-02-22",5353.106934,5360.414063,5331.431152,5358.683105,189512900,5358.683105,"2017-02-22"
"2017-02-23",5348.358887,5373.638184,5347.85791,5372.748047,174887600,5372.748047,"2017-02-23"
"2017-02-24",5371.01709,5391.259766,5370.789063,5385.905762,116360700,5385.905762,"2017-02-24"
"2017-02-27",5387.816895,5393.662109,5368.422852,5382.874023,102443500,5382.874023,"2017-02-27"
"2017-02-28",5390.342773,5405.790039,5386.691895,5386.691895,82270600,5386.691895,"2017-02-28"
"2017-03-01",5389.167969,5392.791992,5350.910156,5363.056152,80795600,5363.056152,"2017-03-01"
"2017-03-02",5394.727051,5431.172852,5394.727051,5408.253906,74167000,5408.253906,"2017-03-02"
"2017-03-03",5402.580078,5410.902832,5384.789063,5391.214844,106883400,5391.214844,"2017-03-03"
"2017-03-06",5398.051758,5409.816895,5386.825195,5409.816895,102030600,5409.816895,"2017-03-06"
"2017-03-07",5416.020996,5427.907227,5386.320801,5402.615234,96160400,5402.615234,"2017-03-07"
"2017-03-08",5407.529785,5415.230957,5390.006836,5393.76416,72878500,5393.76416,"2017-03-08"
"2017-03-09",5393.938965,5405.587891,5386.99707,5402.38623,69424400,5402.38623,"2017-03-09"
"2017-03-10",5414.915039,5415.722168,5369.75293,5390.676758,79484800,5390.676758,"2017-03-10"
"2017-03-13",5389.201172,5409.37207,5386.342773,5409.37207,70965500,5409.37207,"2017-03-13"
"2017-03-14",5415.950195,5449.763184,5412.961914,5431.584961,82241800,5431.584961,"2017-03-14"
"2017-03-15",5433.680176,5447.48584,5424.516113,5432.380859,75739600,5432.380859,"2017-03-15"
"2017-03-16",5461.912109,5518.241211,5458.419922,5518.241211,79972200,5518.241211,"2017-03-16"
"2017-03-17",5539.818848,5557.975098,5499.387207,5540.432129,87948800,5540.432129,"2017-03-17"
"2017-03-20",5552.394043,5566.932129,5510.274902,5533.992188,83916000,5533.992188,"2017-03-20"
"2017-03-21",5541.045898,5554.443848,5525.977051,5543.092773,78762300,5543.092773,"2017-03-21"
"2017-03-22",5512.729004,5534.092773,5486.851074,5534.092773,81597500,5534.092773,"2017-03-22"
"2017-03-23",5539.638184,5576.667969,5532.647949,5563.758789,71128500,5563.758789,"2017-03-23"
